Year,Month,Alaska Airlines,Allegiant Airlines,American Airlines,Delta Airlines,Frontier Airlines,Hawaiian Airlines,JetBlue Airlines,Southwest Airlines,Spirit Airlines,United Airlines
2015,1,81.07,86.84,79.66,81.17,85.03,79.05,82.79,75.21,82.56,83.15
2015,2,83.82,87.76,83.24,84.86,81.01,79.8,84.47,80.03,85.22,83.83
2015,3,87.1,90.21,84.7,88.56,89.11,85.71,87.69,84.69,88.75,86
2015,4,84.18,85.78,84.5,87.22,86.8,83.16,86.28,83.29,84.43,86.06
2015,5,84.97,86.67,85.42,87.9,80.64,83.7,86.08,84.63,86.96,86.41
2015,6,87.32,89.33,88.92,89.82,91.51,86.66,85.74,86.27,87.78,87.76
2015,7,88.53,91.12,89.93,89.61,91.73,85.94,86.92,87.6,88.99,88.97
2015,8,87.17,87.08,88.69,87.96,86.43,85.63,86.8,85.41,83.87,88.56
2015,9,82.3,83.57,85.71,86.05,86.43,83.13,81.58,82.9,80.6,85.39
2015,10,82.93,84.36,88.45,89,89.4,86.83,84.44,86.08,84.17,87.16
2015,11,82.31,83.06,85.27,86.92,87.9,82.98,84.2,83.49,82.34,85.4
2015,12,83.96,83.13,84.83,86.07,86.81,84.09,83.78,83.12,81.51,85.59
2016,1,79.65,82.79,82.41,83.11,84.04,80.46,82.31,77.39,81.99,83.67
2016,2,80.82,86.05,81.4,82.29,88.47,80.67,83.65,79.02,85.37,81.55
2016,3,87.25,89,85.61,87.02,90.93,87.61,87.08,84.71,87.53,85.04
2016,4,84.98,84.9,84.7,86.37,85.05,87.59,84.23,83.56,82.21,84.43
2016,5,85.62,85.87,86.1,87.73,87.26,88.2,85.26,86.07,86.55,86.52
2016,6,86.6,87.78,88.19,88.64,90.38,88.59,87.17,87.38,88.76,89.47
2016,7,87.07,90.43,87.35,87.31,91.35,88.98,87.91,86.76,90.06,88.88
2016,8,86.41,86.91,84.78,84.23,88.38,86.79,87.23,84.58,87.28,86.61
2016,9,85.59,83.49,84.76,86.28,84.91,87.15,83.63,84.57,80.72,85
2016,10,85.26,83.3,85.7,88.14,86,90.44,85.15,85.87,82.55,85.89
2016,11,86.22,82.7,84.08,88.14,86.52,87.93,85.93,85.21,81.02,85.26
2016,12,85.38,79.74,82.59,86.88,85.65,87.25,84.9,82.71,79.98,85
2017,1,79.25,80.46,80.21,82.67,82.69,86.83,83.52,76.34,76.5,82.88
2017,2,81.58,81.57,81.19,83.79,86.86,84.55,83.35,79.28,81.6,82
2017,3,87.11,85.04,85.65,87.9,90.8,89.89,86.5,84.41,86.98,86.26
2017,4,87.17,83.44,85.35,86.85,87.31,89.51,85.76,84.14,84.02,87.87
2017,5,87.97,84.15,85.45,88.54,86.43,90.22,85.11,85.53,86.1,86.9
2017,6,87.72,86.57,87.2,89.14,88.87,90.05,85.76,87.47,87.12,88.36
2017,7,87.79,89.13,86.56,88.78,88.8,90.07,86.84,87.17,85.96,89
2017,8,87.01,85.59,85.27,88.18,85.51,88.17,86.62,84.89,86.28,86.2
2017,9,84.35,79.57,83.5,84.43,82.15,87.35,80.32,82.07,78.64,82.53
2017,10,84.69,83.09,87.11,88.18,85.69,89.26,83.31,86.1,83.53,85.56
2017,11,85.53,84.42,87.49,87.73,87.1,88.27,84.94,86.17,81.58,86.63
2017,12,84.43,82.62,84.45,85.25,88.82,86.87,83.5,83.41,80.3,84.36
2018,1,76.44,82.83,80.43,80.51,81.67,84.11,81.43,77.84,74.48,81.24
2018,2,80.43,85.08,83.14,83.77,84.96,84.18,82.92,81.13,81.95,82.27
2018,3,85.67,88.23,88.23,87.79,89.53,88.27,85.57,85.19,88.21,86.05
2018,4,84.73,85.69,85.69,86.25,84.26,87.91,85.87,82.58,81.41,86.16
2018,5,85.97,85.12,86.33,87.53,86.28,88.24,80.8,84.68,85.13,86.87
2018,6,88.72,86.13,88.73,88.75,89.55,89.43,86.94,86.88,87.18,89.77
2018,7,88.06,89.08,88.84,89.19,90.61,89.37,88.97,86.17,88.22,91.31
2018,8,86.26,85.98,86.46,88.39,86.84,84.92,88.64,84.22,88.26,88.15
2018,9,81.25,82.87,79.28,83.68,81.48,83.44,80.83,80.7,83.61,81.77
2018,10,84.18,83.63,84.83,87.01,85.05,86.93,84.82,84.55,87.17,85.2
2018,11,84.49,83.09,85.32,88.14,85.94,85.66,84.82,84.64,85.35,86.07
2018,12,82.61,82.43,83.16,85.4,85.2,86.04,82.35,81.61,85.53,83.51
2019,1,76.9,81.88,81.65,80.68,84.85,85.54,80.81,76.02,78.89,81.17
2019,2,79.11,83.92,84,83.73,86.16,85.44,75.87,80.8,82.9,81.67
2019,3,84.38,86.6,88.7,88.34,89.11,88.77,86.47,85.67,89.42,86.28
2019,4,85.01,81.55,88.1,87.91,86.8,87.15,85.65,84.92,84.44,86.11
2019,5,86.01,84.19,89.35,89.97,88.27,88.25,87.31,86.48,85.92,87.55
2019,6,88.61,86.57,91.74,91.79,90.38,89.88,88.85,87.59,87.81,90.96
2019,7,88.33,88.88,91.1,91.44,91.01,90.67,89.47,85.76,88.47,91.12
2019,8,86.51,85.91,87.61,89.6,87.18,89.38,87.05,83.34,85.64,87.73
2019,9,83.35,83.26,83.73,86.33,80.44,84.93,82,81.07,80.41,81.76
2019,10,83.9,83.83,85.94,87.02,84.23,87.54,84.15,83.87,86.67,83.86
