Year,Month,Alaska Airlines,Allegiant Airlines,American Airlines,Delta Airlines,Frontier Airlines,Hawaiian Airlines,JetBlue Airlines,Southwest Airlines,Spirit Airlines,United Airlines
2015,1,"4,658","3,650","7,648","14,803","1,618","3,177","6,176","45,964","1,577","4,715"
2015,2,"4,264","3,796","6,600","14,058","1,348","2,882","5,468","40,629","1,541","4,595"
2015,3,"4,866","5,275","8,024","17,497","1,537","3,120","6,501","50,059","1,861","5,547"
2015,4,"4,631","4,439","8,201","17,144","1,539","3,014","6,401","49,345","1,812","4,974"
2015,5,"4,911","4,288","7,735","18,070","1,739","3,202","6,498","49,616","1,782","5,465"
2015,6,"5,218","5,200","7,774","18,600","1,707","3,349","6,549","50,185","1,685","5,952"
2015,7,"5,485","5,716","12,917","19,574","1,769","3,488","7,043","52,418","1,823","6,190"
2015,8,"5,456","4,585","12,528","19,654","1,799","3,447","6,943","49,939","1,807","6,070"
2015,9,"4,638","3,087","11,573","17,539","1,707","3,050","6,136","46,921","1,621","5,554"
2015,10,"4,652","4,231","12,709","18,328","1,726","3,102","6,348","48,740","1,609","6,143"
2015,11,"4,705","4,504","12,311","17,564","1,552","3,004","6,311","48,405","1,723","5,713"
2015,12,"4,871","5,035","12,659","16,523","1,673","3,128","6,871","49,842","1,840","5,915"
2016,1,"4,861","4,402","12,516","16,155","1,549","3,125","6,634","48,129","1,834","5,414"
2016,2,"4,590","4,671","11,847","16,090","1,424","2,931","6,309","45,435","1,765","5,605"
2016,3,"4,983","6,009","13,219","18,491","1,493","3,166","7,067","52,401","2,009","6,179"
2016,4,"4,873","5,039","12,327","18,400","1,539","3,103","6,884","50,000","1,863","5,697"
2016,5,"5,134","5,176","13,092","19,558","1,863","3,188","7,173","51,074","1,858","6,176"
2016,6,"5,395","6,453","12,927","19,778","2,007","3,391","7,003","51,869","1,780","6,560"
2016,7,"5,570","6,891","13,272","20,090","2,224","3,544","7,303","52,227","1,856","6,949"
2016,8,"5,628","5,324","13,117","19,866","2,193","3,550","7,287","51,468","1,852","7,109"
