Year,Quarter,American,Delta  ,United  ,JetBlue,Alaska,Spirit,Frontier,Virgin America,Hawaiian,Sun Country   ,Allegiant ,Island Air Hawaii,US Airways
2015,1Q,153378,228891,201407,42647,24252,10686,5224,8227,5497,616,2716,106,80431
2015,2Q ,163287,223073,210026,41014,27576,11185,8332,9073,4693,679,2815,77,70977
2015,3Q ,216993,230939,202185,36841,26637,10893,9321,9502,5284,3810,2749,67,N/A
2015,4Q    ,214173,206032,184662,38081,22960,10991,16178,9257,4792,4809,3098,66,N/A
2016,1Q,235868,216700,187122,37360,27443,10647,7907,8474,5078,5127,3244,80,N/A
2016,2Q ,235760,214923,196397,35326,28988,11409,8783,8895,5671,5141,3606,111,N/A
2016,3Q ,220496,214438,188695,33718,29906,10611,9856,8851,5709,5421,2918,148,N/A
2016,4Q    ,204805,189248,169761,33666,22282,10158,9661,8323,5185,4533,3120,118,N/A
2017,1Q,221601,215435,184390,34074,26773,11280,9625,7262,5616,4170,3252,162,N/A
2017,2Q ,228443,217225,179387,34156,28554,13063,10268,12309,5547,4561,3771,155,N/A
2017,3Q ,221035,206933,176219,32082,31687,12762,11158,13859,5620,5497,3254,143,N/A
2017,4Q    ,207199,191051,169342,35660,28828,11829,5450,10922,6043,4388,4257,N/A,N/A
2018,1Q,226030,168140,148000,39439,43185,16214,5188,N/A,6110,4950,4699,N/A,N/A
2018,2Q ,226715,179771,162573,39372,46757,14898,6020,N/A,6430,5178,6229,N/A,N/A
2018,3Q ,213248,174790,158485,39657,52602,14960,3182,N/A,6086,4699,5295,N/A,N/A
2018,4Q,199427,171087,157978,41223,52443,16737,11100,N/A,6116,4844,5203,N/A,N/A
2019,1Q,206700,173749,149236,44930,50760,14304,10039,N/A,5452,1174,5740,N/A,N/A
2019,2Q ,208674,226476,160768,49596,52403,16210,12065,N/A,5668,1525,6563,N/A,N/A
2019,3Q ,206728,214483,167427,51322,48511,17006,13764,N/A,5823,2279,11746,N/A,N/A
2019,4Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
